scenario,deals_mult,rev_2026,net_2026,rev_2027,net_2027,cash_end_2027,run_rate_dec27
שמרני,0.7,1890470,1359270,10631466,8644516,10153786,14418971
בסיס,1.0,2293764,1736764,12976937,10886937,12773701,17449044
אופטימי,1.3,2697058,2114258,15322408,13129358,15393616,20479117
